Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2016-11-21,54.7519416809082,54.850902360212054,54.35609896369281,54.42807161476648,19652600
2016-11-22,54.985836029052734,55.11178471390065,54.70695063598787,54.85988734420483,23206700
2016-11-23,54.33810043334961,54.96784386904017,54.20315345036202,54.88687636561648,21848900
2016-11-25,54.45505142211914,54.45505142211914,54.09519851661113,54.24813522928705,8409600
2016-11-28,54.52701950073242,54.89587067133148,54.167163193484726,54.284117008116844,20732600
2016-11-29,54.958858489990234,55.246742233659525,54.44606535708901,54.5630192004062,22366700
2016-11-30,54.21215057373047,55.03981880231619,54.1761676843659,54.75193509633276,34655400
2016-12-01,53.25853729248047,54.11319354938663,53.02462963555315,54.077207228037125,34542100
2016-12-02,53.30351638793945,53.501437715755756,52.89867886824446,53.15057967596821,25515700
2016-12-05,54.176177978515625,54.50904293333662,53.5824172931223,53.70836600944131,23552700
2016-12-06,53.93327331542969,54.39208696873434,53.79832630642215,54.36509893967083,19907000
2016-12-07,55.21074676513672,55.21974506104908,53.79831630919863,53.98723934122604,30809000
2016-12-08,54.886878967285156,55.399675467838264,54.73394224903797,55.14777464977747,21220800
2016-12-09,55.75052261352539,55.768515770712256,54.994827170896116,55.03980834794137,27349400
2016-12-12,55.930458068847656,56.04741189711327,55.52562396580692,55.61558633718386,20198100
2016-12-13,56.65917205810547,57.055011341643656,55.9934421979801,56.227346449197015,35718900
2016-12-14,56.3892707824707,57.08199197111239,56.25432380385892,56.67715446712124,30352700
2016-12-15,56.2993049621582,56.812097958455645,56.047404179668156,56.4072604793145,27669900
2016-12-16,56.04741287231445,56.632178591972725,55.88547785554277,56.632178591972725,42453100
2016-12-19,57.23492431640625,57.36987128473639,56.15535886529701,56.281310970598994,34338200
2016-12-20,57.162967681884766,57.39687192231601,56.70415063418292,57.297911248033465,26028400
2016-12-21,57.162967681884766,57.30690954488354,56.78511814661003,57.06400700760222,17096300
2016-12-22,57.171958923339844,57.6667588315475,57.046010230179114,57.432854605941074,22176600
2016-12-23,56.89308166503906,57.16297225075274,56.49723893627035,57.082004731854134,12403800
2016-12-27,56.92906188964844,57.63977636310777,56.866087536997085,56.866087536997085,11763200
2016-12-28,56.66816329956055,57.03701450906745,56.52422144784674,57.03701450906745,14653300
2016-12-29,56.58720016479492,56.857090728626574,56.434260005122006,56.551213841125445,10250600
2016-12-30,55.903472900390625,56.66816682354735,55.80451222771254,56.64117536527946,25579900
2017-01-03,56.2993049621582,56.53320915463752,55.89446748301706,56.48822797514273,20694100
2017-01-04,56.04741287231445,56.45225041424368,55.88547785554277,56.209347889086146,21340000
2017-01-05,56.04741287231445,56.37128290585783,55.80451034715692,55.948452202971254,24876000
2017-01-06,56.53322219848633,56.81211106665217,55.81351286497989,56.04741711142768,19922900
2017-01-09,56.35328674316406,56.74912939945177,56.26332437501378,56.46124227131327,20382700
2017-01-10,56.33529281616211,56.74013033101525,56.029415964033554,56.43425347888669,18593000
2017-01-11,56.84809112548828,56.88407744833084,56.1643681507029,56.32630317164977,21517300
2017-01-12,56.32630157470703,57.037015987396735,55.73254099201749,56.73113911559639,20968200
2017-01-13,56.407264709472656,56.56020141759295,56.09238956570762,56.335292071408325,19422300
2017-01-17,56.25433349609375,56.40727366032726,55.80451473234607,56.38928049795597,20664000
2017-01-18,56.22734832763672,56.40727652865416,55.88548508888809,56.3802850678023,19670100
2017-01-19,56.04741287231445,56.65916661748649,55.95745049937221,55.99343682128692,18451700
2017-01-20,56.44326400756836,56.51523323033766,56.11039562774454,56.38028621885827,30213500
2017-01-23,56.64118194580078,56.78512382318885,56.2903238341577,56.40727768198708,23097600
2017-01-24,57.144962310791016,57.34288361706946,56.62317102400019,56.8570786463009,24672900
2017-01-25,57.28890609741211,57.666752133003875,57.081989920991276,57.53180859108286,23672700
2017-01-26,57.8197021484375,58.06260812988944,57.17196544799693,57.68476200728618,43554600
2017-01-27,59.17814636230469,59.29510361565924,58.3774696350264,58.827288329618185,44818000
2017-01-30,58.593379974365234,59.187143938579396,58.296504855946644,59.09718157349229,31651400
2017-01-31,58.16156005859375,58.611378764594185,57.810702017008516,58.35048309147128,25270500
2017-02-01,57.19895553588867,58.13457938633462,57.099994858958546,57.90067170780073,39671500
2017-02-02,56.830108642578125,57.046023188359676,56.45226247726701,56.90208130178707,45827000
2017-02-03,57.28890609741211,57.30689925603707,56.74012677080532,57.12697110163161,30301800
2017-02-06,57.252925872802734,57.26192416899483,56.80310715484314,57.12697718086916,19796400
2017-02-07,57.06401443481445,57.37888622865518,56.8840862246861,57.34290333210565,20277200
